sample	path	BTau_norm	TTau_norm	BTau	TTau	totalCounts	name
11452_TCX		0.4018039756567427	329.5157876726796	44	36084	109506134	11452_TCX.snap.bam
11500_TCX		0.6105923111773808	368.15737864917145	82	49442	134295828	11500_TCX.snap.bam
11425_TCX		0.4230765227814438	367.8396519670985	50	43472	118181930	11425_TCX.snap.bam
11366_TCX		0.39255770363975195	348.9901301116047	62	55119	157938564	11366_TCX.snap.bam
11289_TCX		0.4309032004336778	223.38652500531273	41	21255	95148980	11289_TCX.snap.bam
7098_TCX		0.3886409726533168	172.22624703131734	40	17726	102922756	7098_TCX.snap.bam
11290_TCX		0.3991218938219827	350.4765372868701	42	36881	105231010	11290_TCX.snap.bam
1933_TCX		0.1696970122069283	213.75224209820476	18	22673	106071402	1933_TCX.snap.bam
1052_TCX		0.40214523332116425	421.12053062676284	54	56548	134279846	1052_TCX.snap.bam
1956_TCX		0.2323030514667129	414.618709949634	33	58899	142055818	1956_TCX.snap.bam
11312_TCX		0.72225536484612	246.0378601551891	92	31340	127378770	11312_TCX.snap.bam
1943_TCX		0.1372361492516175	262.0049221750688	13	24819	94727228	1943_TCX.snap.bam
11422_TCX		0.5024146142981364	313.3231447514281	52	32429	103500174	11422_TCX.snap.bam
11476_TCX		0.575409595559186	344.8655759955886	56	33563	97321978	11476_TCX.snap.bam
11303_TCX		0.4307917123677044	481.74195929824407	59	65978	136957138	11303_TCX.snap.bam
11481_TCX		0.5439665345092997	365.57689387493264	52	34947	95594116	11481_TCX.snap.bam
1119_TCX		0.7828756454547148	221.38195691224297	82	23188	104742050	1119_TCX.snap.bam
1271_TCX		0.4681779302129851	437.1036119974927	59	55084	126020464	11271_TCX.snap.bam
1104_TCX		0.7903938072191316	295.8577057002622	101	37806	127784402	1104_TCX.snap.bam
11306_TCX		0.3407451371823372	242.26979253664175	35	24885	102716066	11306_TCX.snap.bam
1019_TCX		1.0662390957423968	229.25109866730386	110	23651	103166354	1019_TCX.snap.bam
11371_TCX		0.5099671661402134	366.50755022273694	61	43840	119615544	11371_TCX.snap.bam
11489_TCX		0.9324353472338373	242.57245010538455	154	40063	165158904	11489_TCX.snap.bam
11474_TCX		0.4740494145662112	454.19967271628417	55	52697	116021660	11474_TCX.snap.bam
11505_TCX		0.5603314921107326	277.2360128251874	70	34634	124926050	11505_TCX.snap.bam
732_TCX		0.7624627468522018	371.59306229281543	78	38014	102300080	732_TCX.snap.bam
11470_TCX		0.5555446146366554	329.6714462451086	69	40946	124202446	11470_TCX.snap.bam
1940_TCX		0.08075360393744883	61.362644791968926	8	6079	99066786	1940_TCX.snap.bam
11329_TCX		0.6049535825568942	320.6092666596191	75	39748	123976454	11329_TCX.snap.bam
6863_TCX		0.40162604766337284	308.17814357334936	46	35297	114534404	6863_TCX.snap.bam
6914_TCX		0.626834463916911	267.16291466136084	62	26425	98909686	6914_TCX.snap.bam
11346_TCX		0.8928813892052119	334.9074934855066	116	43510	129916472	11346_TCX.snap.bam
11383_TCX		0.7104918382381655	406.9188502186017	81	46391	114005532	11383_TCX.snap.bam
11319_TCX		0.48005911078613983	293.39920384412136	52	31781	108319994	11319_TCX.snap.bam
11344_TCX		0.24318851268256467	402.7607084211075	24	39748	98688872	11344_TCX.snap.bam
11267_TCX		0.5466961511497567	233.68775479146873	55	23510	100604330	11267_TCX.snap.bam
11456_TCX		0.2588566457272216	378.08004313427847	26	37975	100441694	11456_TCX.snap.bam
11345_TCX		0.3377073869505948	277.68834160480037	40	32891	118445736	11345_TCX.snap.bam
11506_TCX		0.43784418274439263	275.9644315001358	50	31514	114195876	11506_TCX.snap.bam
1169_TCX		0.48994731968831357	270.7644867525496	50	27632	102051788	1169_TCX.snap.bam
11427		0.3475141925710757	380.35428376904235	38	41591	109348052	11427.snap.bam
11460_TCX		0.5370069827593333	340.4144800173852	56	35499	104281698	11460_TCX.snap.bam
11333_TCX		0.6696213307799114	361.9429636512738	106	57295	158298422	11333_TCX.snap.bam
11448_TCX		0.3078000070540519	389.5661736338224	34	43032	110461336	11448_TCX.snap.bam
1951_TCX		0.4764918005290965	305.29064000128983	61	39083	128018992	1951_TCX.snap.bam
11507_TCX		0.40720850373117806	225.07281822623608	61	33716	149800408	11507_TCX.snap.bam
11372_TCX		0.9127873421953683	389.4392149531338	91	38825	99694634	11372_TCX.snap.bam
11429_TCX		0.6517619994598196	306.92776078561826	75	35319	115072680	11429_TCX.snap.bam
