sample	path	BTau_norm	TTau_norm	BTau	TTau	totalCounts	name
1159_CER.FCC7KKVACXX_L2IGATCAG		2.223340833226622	382.3352182852209	252	43335	113342946	1159_CER.FCC7KKVACXX_L2IGATCAG.snap.bam
1926_CER.FCC7E15ACXX_L7IGTGGCC		1.4698071643858155	300.9937699178157	181	37066	123145406	1926_CER.FCC7E15ACXX_L7IGTGGCC.snap.bam
11431_CER.FCC7BR1ACXX_L3IGTTTCG		2.011122703443027	282.19669867223996	239	33536	118839094	11431_CER.FCC7BR1ACXX_L3IGTTTCG.snap.bam
1930_CER.FCC7AFDACXX_L8IACTGAT		0.5707858432716661	184.3128643550275	56	18083	98110352	1930_CER.FCC7AFDACXX_L8IACTGAT.snap.bam
11400_CER.FCC7BR1ACXX_L4IACTGAT		1.0306728715047482	328.75341349875697	132	42104	128071674	11400_CER.FCC7BR1ACXX_L4IACTGAT.snap.bam
11307_CER.FCC7KRCACXX_L3ICGTACG		1.3823180877608297	303.8773119064723	202	44406	146131344	11307_CER.FCC7KRCACXX_L3ICGTACG.snap.bam
1935_CER.FCC7L0WACXX_L3IGTTTCG		1.3484405333390526	264.26223880747	168	32924	124588364	1935_CER.FCC7L0WACXX_L3IGTTTCG.snap.bam
777_CER.FCC7L2YACXX_L7ITAGCTT		5.904457981777381	321.5435575577352	1018	55438	172412100	777_CER.FCC7L2YACXX_L7ITAGCTT.snap.bam
11314_CER.FCC7983ACXX_L5IATCACG		1.772054541629905	260.31069110835944	215	31583	121328094	11314_CER.FCC7983ACXX_L5IATCACG.snap.bam
11341_CER.FCC7KKVACXX_L4IGAGTGG		2.6747030805853624	272.20969421887173	342	34806	127864660	11341_CER.FCC7KKVACXX_L4IGAGTGG.snap.bam
1960_CER.FCC7LB6ACXX_L2ITAGCTT		1.471605291540193	312.7957973502406	157	33371	106686216	1960_CER.FCC7LB6ACXX_L2ITAGCTT.snap.bam
6929_CER.FCC7AFDACXX_L3ICGTACG		2.2194569176189267	331.3666517512226	256	38221	115343532	6929_CER.FCC7AFDACXX_L3ICGTACG.snap.bam
1940_CER.FCC7KKVACXX_L7IGTTTCG		0.5643074528970833	272.28268684940343	65	31363	115185436	1940_CER.FCC7KKVACXX_L7IGTTTCG.snap.bam
11505_CER.FCC7L0WACXX_L5ITTAGGC		0.9798532574464692	289.6919261618806	145	42869	147981342	11505_CER.FCC7L0WACXX_L5ITTAGGC.snap.bam
11457_CER.FCC7KKVACXX_L5ITTAGGC		3.315525078101207	438.4450363281036	475	62814	143265392	11457_CER.FCC7KKVACXX_L5ITTAGGC.snap.bam
1052_CER.FCC7LB6ACXX_L4IATTCCT		2.501403728916109	352.7119392434399	357	50339	142719864	1052_CER.FCC7LB6ACXX_L4IATTCCT.snap.bam
11393_CER.FCC7983ACXX_L8IATTCCT		1.5821956411866254	298.5661774757724	189	35665	119454254	11393_CER.FCC7983ACXX_L8IATTCCT.snap.bam
1942_CER.FCC7LB6ACXX_L7IGTTTCG		1.9863570544361657	371.6504297942265	197	36859	99176530	1942_CER.FCC7LB6ACXX_L7IGTTTCG.snap.bam
11381_CER.FCC79ALACXX_L7ITAGCTT		1.6405373297014407	342.93112595527964	251	52468	152998652	11381_CER.FCC79ALACXX_L7ITAGCTT.snap.bam
